ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
0576,Barbary Apes,Barbary Apes,Legends,Green,Summon,Apes,None,Common,010001,2,2
0577,Barktooth Warbeard,Barktooth Warbeard,Legends,Gold,Summon,Legend,None,Uncommon,002104,6,5
0578,Bartel Runeaxe,Bartel Runeaxe,Legends,Gold,Summon,Legend,None,Rare,011103,6,5
0579,Beasts of Bogardan,Beasts of Bogardan,Legends,Red,Summon,Beasts,None,Uncommon,001004,3,3
0580,Black Mana Battery,Black Mana Battery,Legends,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0581,Blazing Effigy,Blazing Effigy,Legends,Red,Summon,Effigy,None,Common,001001,0,3
0582,Blight,Blight,Legends,Black,Enchant,Land,None,Uncommon,000200,na,na
0583,Blood Lust,Blood Lust,Legends,Red,Instant,na,None,Uncommon,001001,na,na
0584,Blue Mana Battery,Blue Mana Battery,Legends,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0585,Boomerang,Boomerang,Legends,Blue,Instant,na,None,Uncommon,000020,na,na
0586,Boris Devilboon,Boris Devilboon,Legends,Gold,Summon,Legend,None,Rare,001103,2,2
0587,Brine Hag,Brine Hag,Legends,Blue,Summon,Hag,None,Uncommon,000022,2,2
0588,Bronze Horse,Bronze Horse,Legends,Brown,Artifact,Creature,None,Rare,000007,4,4
0589,Carrion Ants,Carrion Ants,Legends,Black,Summon,Ants,None,Rare,000202,0,1
0590,Cat Warriors ,Cat Warriors,Legends,Green,Summon,Cat Warriors,None,Common,020001,2,2
0591,Cathedral of Sara,Cathedral of Serra,Legends,Grey,Land,na,None,Uncommon,000000,na,na
0592,Caverns of Despair,Caverns of Despair,Legends,Red,Enchant,World,None,Rare,002002,na,na
0593,Chain Lightning,Chain Lightning,Legends,Red,Sorcery,na,None,Common,001000,na,na
0594,Chains of Mephistopholes,Chains of Mephisto,Legends,Black,Enchant,na,None,Uncommon,000101,na,na
0595,Chromium,Chromium,Legends,Gold,Summon,ElderDragon,None,Rare,200222,7,7
0596,Cleanse,Cleanse,Legends,White,Sorcery,na,None,Rare,200002,na,na
0597,Clergy of the Holy Nimbus,Holy Nimbus Clerics,Legends,White,Summon,Priest,None,Common,100000,1,1
0598,Cocoon,Cocoon,Legends,Green,Enchant,Creature,None,Uncommon,010000,na,na
0599,Concordant Crossroads,Concordant Roads,Legends,Green,Enchant,World,None,Uncommon,010000,na,na
0600,Cosmic Horror,Cosmic Horror,Legends,Black,Summon,Horror,None,Rare,000303,7,7
0601,Craw Giant,Craw Giant,Legends,Green,Summon,Giant,None,Uncommon,040003,6,4
0602,Crevasse,Crevasse,Legends,Red,Enchant,na,None,Common,001002,na,na
0603,Crimson Kobolds,Crimson Kobolds,Legends,Red,Summon,Kobolds,None,Common,000000,0,1
0604,Crimson Manticore,Crimson Manticore,Legends,Red,Summon ,Manticore,None,Uncommon,002002,2,2
0605,Crookshank Kobolds,Crookshank Kobolds,Legends,Red,Summon,Kobolds,None,Common,000000,0,1
0606,Cyclopian Mummy,Cyclopian Mummy,Legends,Black,Summon,Mummy,None,Common,000101,2,1
0607,D'Avenant Archer,D'Avenant Archer,Legends,White,Summon,Archer,None,Common,100002,1,2
0608,Dakkon Blackblade,Dakkon Blackblade,Legends,Gold,Summon,Legend,None,Rare,100122,0,0
0609,Darkness,Darkness,Legends,Black,Instant,na,None,Common,000100,na,na
0610,Deadfall,Deadfall,Legends,Green,Enchant,na,None,Uncommon,010002,na,na
0611,Demonic Torment,Demonic Torment,Legends,Black,Enchant,Creature,None,Uncommon,000102,na,na
0612,Devouring Deep,Devouring Deep,Legends,Blue,Summon,Devourer,None,Common,000012,1,1
0613,Disharmony ,Disharmony,Legends,Red ,Instant,na,None,Rare,001002,na,na
0614,Divine Intervention,Divine Intervention,Legends,White,Enchant,na,None,Rare,200006,na,na
0615,Divine Offering,Divine Offering,Legends,White,Instant,na,None,Common,100001,na,na
0616,Divine Transformation,Transformation,Legends,White,Enchant,Creature,None,Rare,200002,na,na
0617,Dream Coat,Dream Coat,Legends,Blue,Enchant,Creature,None,Uncommon,000010,na,na
0618,Durkwood Boars,Durkwood Boars,Legends,Green,Summon,Boars,None,Common,010004,4,4
0619,Dwarven Song,Dwarven Song,Legends,Red,Instant,na,None,Uncommon,001000,na,na
0620,Elder Land Wurm,Elder Land Wurm,Legends,White,Summon,Wurm,None,Rare,300004,5,5
0621,Elder Spawn,Elder Spawn,Legends,Blue,Summon,Spawn,None,Rare,000034,6,6
0622,Elven Riders,Elven Riders,Legends,Green,Summon,Elves,None,Rare,020003,3,3
0623,Emerald Dragonfly,Emerald Dragonfly,Legends,Green,Summon,Dragonfly,None,Common,010001,1,1
0624,Enchanted Being ,Enchanted Being,Legends,White,Summon,Being,None,Common,200001,2,2
0625,Enchantment Alteration,Enchant Alteration,Legends,Blue,Instant,na,None,Common,000010,na,na
0626,Energy Tap,Energy Tap,Legends,Blue,Sorcery,na,None,Common,000010,na,na
0627,Equinox,Equinox,Legends,White,Enchant,Land,None,Common,100000,na,na
0628,Eternal Warrior,Eternal Warrior,Legends,Red,Enchant,Creature,None,Uncommon,001000,na,na
0629,Eureka,Eureka,Legends,Green,Sorcery,na,None,Rare,020002,na,na
0630,Evil Eye of Orms-by-Gore,Evil Eye,Legends,Black,Summon,Evil Eye,None,Uncommon,000104,3,6
0631,Fallen Angel,Fallen Angel,Legends,Black,Summon,Angel,None,Uncommon,000203,3,3
0632,Falling Star,Falling Star,Legends,Red,Sorcery,na,None,Rare,001002,na,na
0633,Feint,Feint,Legends,Red,Instant,na,None,Common,001000,na,na
0634,Field of Dreams,Field of Dreams,Legends,Blue,Enchant,World,None,Uncommon,000010,na,na
0635,Fire Sprites,Fire Sprites,Legends,Green,Summon,Faeries,None,Uncommon,010001,1,1
0636,Firestorm Phoenix,Firestorm Phoenix,Legends,Red,Summon ,Phoenix,None,Rare,002004,3,2
0637,Flash Counter,Flash Counter,Legends,Blue,Interrupt,na,None,Common,000011,na,na
0638,Flash Flood,Flash Flood,Legends,Blue,Instant,na,None,Common,000010,na,na
0639,Floral Spuzzem,Floral Spuzzem,Legends,Green,Summon,Spuzzem,None,Uncommon,010003,2,2
0640,Force Spike,Force Spike,Legends,Blue,Interrupt,na,None,Common,000010,na,na
0641,Forethought Amulet,Forethought Amulet,Legends,Brown,Artifact,Continuous,None,Rare,000005,na,na
0642,Fortified Area,Fortified Area,Legends,White,Enchant,na,None,Rare,200001,na,na
0643,Frost Giant,Frost Giant,Legends,Red,Summon,Giant,None,Rare,003003,4,4
0644,Gabriel Angelfire,Gabriel Angelfire,Legends,Gold,Summon,Legend,None,Rare,220003,4,4
0645,Gaseous Form,Gaseous Form,Legends,Blue,Enchant,Creature,None,Common,000012,na,na
0646,Gauntlets of Chaos,Gauntlets of Chaos,Legends,Brown,Artifact,Mono,None,Rare,000005,na,na
0647,Ghosts of the Damned,Damned Spirits,Legends,Black,Summon,Ghosts,None,Common,000201,0,2
0648,Giant Slug,Giant Slug,Legends,Black,Summon,Slug,None,Uncommon,000101,1,1
0649,Giant Strength,Giant Strength,Legends,Red,Enchant,Creature,None,Common,002000,na,na
0650,Giant Turtle,Giant Turtle,Legends,Green,Summon,Turtle,None,Common,020001,2,4
0651,Glyph of Delusion,Glyph of Delusion,Legends,Blue,Instant,na,None,Common,000010,na,na
0652,Glyph of Destruction,Glyph of Destruction,Legends,Red,Instant,na,None,Common,001000,na,na
0653,Glyph of Doom,Glyph of Doom,Legends,Black ,Instant,na,None,Common,000100,na,na
0654,Glyph of Life,Glyph of Life,Legends,White,Instant,na,None,Common,100000,na,na
0655,Glyph of Reincarnation,Reincarnation Glyph,Legends,Green,Instant,na,None,Common,010000,na,na
0656,Gosta Dirk,Gosta Dirk,Legends,Gold,Summon,Legend,None,Rare,200023,4,4
0657,Gravity Sphere,Gravity Sphere,Legends,Red,Enchant,World,None,Rare,001002,na,na
0658,Great Defender,Great Defender,Legends,White,Instant,na,None,Common,100000,na,na
0659,Great Wall,Great Wall,Legends,White,Enchant,na,None,Uncommon,100002,na,na
0660,Greater Realm of Preservation,Greater Realm,Legends,White,Enchant,na,Prevent,Uncommon,100001,na,na
0661,Greed,Greed,Legends,Black,Enchant,na,None,Rare,000103,na,na
0662,Green Mana Battery,Green Mana Battery,Legends,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0663,Gwendlyn Di Corsi,Gwendlyn Di Corsi,Legends,Gold,Summon,Legend,None,Rare,001210,3,5
0664,Halfdane,Halfdane,Legends,Gold,Summon,Legend,None,Rare,100111,3,3
0665,Hammerheim,Hammerheim,Legends,Grey,Land,na,None,Rare,000000,na,na
0666,Hazezon Tamar,Hazezon Tamar,Legends,Gold,Summon ,Legend,None,Rare,111004,2,4
0667,Headless Horseman,Headless Horseman,Legends,Black,Summon,Horseman,None,Common,000102,2,2
0668,Heavens Gate,Heavens Gate,Legends,White,Instant,na,None,Uncommon,100000,na,na
0669,Hell Swarm,Hell Swarm,Legends,Black,Instant,na,None,Common,000100,na,na
0670,Hell's Caretaker,Hell's Caretaker,Legends,Black,Summon,Caretaker,None,Rare,000103,1,1
0671,Hellfire,Hellfire,Legends,Black,Sorcery,na,None,Rare,000302,na,na
0672,Holy Day,Holy Day,Legends,White,Instant,na,None,Common,100000,na,na
0673,Horn of Deafening,Horn of Deafening,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0674,Hornet Cobra ,Hornet Cobra,Legends,Green,Summon,Cobra,None,Common,020001,2,1
0675,Horror of Horrors,Horror of Horrors,Legends,Black,Enchant,na,None,Uncommon,000203,na,na
0676,Hunding Gjornersen,Hunding Gjornersen,Legends,Gold,Summon,Legend,None,Uncommon,100023,5,4
0677,Hyperion Blacksmith,Hyperion Blacksmith,Legends,Red,Summon,Smith,None,Uncommon,002001,2,2
0678,Ichnemon Druid,Ichnemon Druid,Legends,Green,Summon,Druid,None,Uncommon,020001,2,2
0679,Immolation,Immolation,Legends,Red,Enchant,Creature,None,Common,001000,na,na
0680,Imprison,Imprison,Legends,Black,Enchant,Creature,None,Rare,000100,na,na
0681,In the Eye of Chaos,The Eye of Chaos,Legends,Blue,Enchant,World,None,Rare,000012,na,na
0682,Indestructable Aura,Indestructable Aura,Legends,White,Instant,na,None,Common,100000,na,na
0683,Infernal Medusa,Infernal Medusa,Legends,Black,Summon,Medusa,None,Uncommon,000203,2,4
0684,Infinite Authority,Infinite Authority,Legends,White,Enchant,Creature,None,Rare,300000,na,na
0685,Invoke Prejudice,Invoke Prejudice,Legends,Blue,Enchant,na,None,Rare,000040,na,na
0686,Ivory Guardiands,Ivory Guardians,Legends,White,Summon,Guardians,None,Uncommon,200004,3,3
0687,Jacques le Vert,Jacques le Vert,Legends,Gold,Summon,Legend,None,Rare,111001,3,2
0688,Jasmine Boreal,Jasmine Boreal,Legends,Gold,Summon,Legend,None,Uncommon,110003,4,5
0689,Jedit Ojanen,Jedit Ojanen,Legends,Gold,Summon,Legend,None,Uncommon,200014,5,5
0690,Jerrard of the Closed Fist,Jerrard,Legends,Gold,Summon,Legend,None,Uncommon,021003,6,5
0691,Johan,Johan,Legends,Gold,Summon,Legend,None,Rare,111003,5,4
0692,Jovial Evil,Jovial Evil,Legends,Black,Sorcery,na,None,Rare,000102,na,na
0693,Juxtapose,Juxtapose,Legends,Blue,Sorcery,na,None,Rare,000013,na,na
0694,Karakas,Karakas,Legends,Grey,Land,na,None,Rare,000000,na,na
0695,Kasimer the Lone Wolf,Kasimer Lone Wolf,Legends ,Gold,Summon,Legend,None,Uncommon,100014,5,3
0696,Keepers of the Faith,Keepers of Faith,Legends,White,Summon,Keepers,None,Common,200001,2,3
0697,Kei Takahashi,Kei Takahashi,Legends,Gold,Summon,Legend,Prevent,Rare,110002,2,2
0698,Killer Bees,Killer Bees,Legends,Green,Summon,Bees,None,Rare,020001,0,1
0699,Kismet,Kismet,Legends,White,Enchant,na,None,Uncommon,100003,na,na
0700,Knowledge Vault,Knowledge Vault,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0701,Kobold Drill Sergent,Kobold Drill Sergent,Legends,Red,Summon,Sergent,None,Uncommon,001001,1,2
0702,Kobold Overlord,Kobold Overlord,Legends,Red,Summon,Lord,None,Rare,001001,1,2
0703,Kobold Taskmaster,Kobold Taskmaster,Legends,Red,Summon,Taskmaster,None,Uncommon,001001,1,2
0704,Kobolds of Kher Keep,Kher Keep Kobolds,Legends,Red,Summon,Kobolds,None,Common,000000,0,1
0705,Kry Shield,Kry Shield,Legends,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0706,Lady Caladria,Lady Caladria,Legends,Gold,Summon,Legend,None,Rare,220003,3,6
0707,Lady Evangela ,Lady Evangela,Legends,Gold,Summon,Legend,None,Rare,100110,1,2
0708,Lady Orca,Lady Orca,Legends,Gold,Summon,Legend,None,Uncommon,001105,7,4
0709,Land Equilibrium,Land Equilibrium,Legends,Blue,Enchant,na,None,Rare,000022,na,na
0710,Land Tax,Land Tax,Legends,White,Enchant,na,None,Uncommon,100000,na,na
0711,Land's Edge,Land's Edge,Legends,Red,Enchant,World,None,Rare,002001,na,na
0712,Lesser Werewolf,Lesser Werewolf,Legends,Black,Summon,Lycanthrope,None,Uncommon,000103,2,4
0713,Life Chisel,Life Chisel,Legends,Brown,Artifact,Continuous,None,Uncommon,000004,na,na
0714,Life Matrix,Life Matrix,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0715,Lifeblood,Lifeblood,Legends,White,Enchant,na ,None,Rare,200002,na,na
0716,Living Plane,Living Plane,Legends,Green,Enchant,World,None,Rare,020002,na,na
0717,Livonya Silone,Livonya Silone,Legends,Gold,Summon,Legend,None,Rare,022002,4,4
0718,Lord Magnus,Lord Magnus,Legends,Gold,Summon,Legend,None,Uncommon,210003,4,3
0719,Lost Soul,Lost Soul,Legends,Black,Summon,Lost Soul,None,Common,000201,2,1
0720,Mana Drain,Mana Drain,Legends,Blue,Interrupt,na,None,Uncommon,000020,na,na
0721,Mana Matrix,Mana Matrix,Legends,Brown,Artifact,Continuous,None,Rare,000006,na,na
0722,Marble Priest,Marble Priest,Legends,Brown ,Artifact,Creature,None,Uncommon,000005,3,3
0723,Marhault Elsdragon,Marhault Elsdragon,Legends,Gold,Summon,Legend,None,Uncommon,012003,4,6
0724,Master of the Hunt,Master of the Hunt,Legends,Green,Summon,Master,None,Uncommon,020002,2,2
0725,Mirror Universe,Mirror Universe,Legends,Brown,Artifact,Mono,None,Rare,000006,na,na
0726,Moat,Moat,Legends,White,Enchant,na,None,Rare,200002,na,na
0727,Mold Demon,Mold Demon,Legends,Black,Summon,Demon,None,Rare,000205,6,6
0728,Moss Monster,Moss Monster,Legends,Green,Summon,MossMonster,None,Common,020003,3,6
0729,Mountain Stronghold,Mountain Hold,Legends,Grey,Land,na,None,Uncommon,000000,na,na
0730,Mountain Yeti ,Mountain Yeti,Legends,Red,Summon,Yeti,None,Uncommon,002002,3,3
0731,Nebuchadnezzar,Nebuchadnezzar,Legends,Gold,Summon,Legend,None,Rare,000113,3,3
0732,Nether Void,Nether Void,Legends,Black,Enchant,World,None,Rare,000103,na,na
0733,Nicol Bolas,Nicol Bolas,Legends,Gold,Summon,ElderDragon,None,Rare,002222,7,7
0734,North Star,North Star,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0735,Nova Pentacle,Nova Pentacle,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0736,Osai Vultures,Osai Vultures,Legends,White,Summon,Vultures,None,Common,100001,1,1
0737,Palladia-Mors,Palladia-Mors,Legends,Gold,Summon,ElderDragon,None,Rare,222002,7,7
0738,Part Water,Part Water,Legends,Blue,Sorcery,na,None,Uncommon,00001x,na,na
0739,Pavel Maliki,Pavel Maliki,Legends,Gold,Summon,Legend,None,Uncommon,001104,5,3
0740,Pendlehaven,Pendlehaven,Legends,Grey,Land,na,None,Rare,000000,na,na
0741,Petra Sphinx,Petra Sphinx,Legends,White,Summon,Sphinx,None,Rare,300002,3,4
0742,Pit Scorpion,Pit Scorpian,Legends,Black,Summon,Scorpion,None,Common,000102,1,1
0743,Pixie Queen,Pixie Queen,Legends,Green,Summon,Pixie,None,Rare,020002,1,1
0744,Planar Gate,Planar Gate,Legends,Brown,Artifact,Continuous,None,Rare,000006,na,na
0745,Pradesh Gypsies,Pradesh Gypsies,Legends,Green,Summon,Gypsies,None,Uncommon,010002,1,1
0746,Presence of the Master,Master's Presence,Legends,White,Enchant,na,None,Uncommon,100003,na ,na
0747,Primordial Ooze,Primordial Ooze,Legends,Red,Summon,Ooze,None,Rare,001000,1,1
0748,Princess Lucrezia,Princess Lucrezia,Legends,Gold,Summon,Legend,None,Uncommon,000123,5,4
0749,Psionic Entity,Psionic Entity,Legends,Blue,Summon,Entity,None,Uncommon,000014,2,2
0750,Psychic Purge,Psychic Purge,Legends,Blue,Sorcery,na,None,Common,000010,na,na
0751,Puppet Master,Puppet Master,Legends,Blue,Enchant,Creature,None,Uncommon,000030,na,na
0752,Pyrotechnics,Pyrotechnics,Legends,Red,Sorcery,na,None,Uncommon,001004,na,na
0753,Quagmire,Quagmire,Legends,Black,Enchant,na,None,Common,000102,na,na
0754,Quarum Trench Gnomes,Trench Gnomes,Legends,Red,Summon,Gnomes,None,Uncommon,001003,1,1
0755,Rabid Wombat,Rabid Wombat,Legends,Green,Summon,Wombat,None,Uncommon,020002,0,1
0756,Radjan Spirit,Radjan Spirit,Legends,Green,Summon,Spirit,None,Uncommon,010003,3,2
0757,Raging Bull,Raging Bull,Legends,Red,Summon,Bull,None,Common,001002,2,2
0758,Ragnar,Ragnar,Legends,Gold,Summon,Legend,None,Rare,110010,2,2
0759,Ramirez DePietro,Ramirez DePietro,Legends,Gold,Summon,Legend,None,Uncommon,000213,4,3
0760,Ramses Overdark,Ramses Overdark,Legends,Gold,Summon,Legend,None,Rare,000222,4,3
0761,Rapid Fire,Rapid Fire,Legends,White,Instant,na,None,Rare,100003,na,na
0762,Rasputin Dreamweaver,Rasputin,Legends,Gold,Summon,Legend,None,Rare,100014,4,1
0763,Rebirth,Rebirth,Legends,Green,Sorcery,na,None,Rare,030003,na,na
0764,Recall,Recall,Legends,Blue,Sorcery,na,None,Uncommon,00001x,na,na
0765,Red Mana Battery,Red Mana Battery,Legends,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0766,Reincarnation,Reincarnation,Legends,Green,Instant,na,None,Uncommon,020001,na,na
0767,Relic Barrier,Relic Barrier,Legends,Brown,Artifact,Mono,None,Uncommon,000002,na,na
0768,Relic Bind,Relic Bind,Legends,Blue,Enchant,Artifact,None,Rare,000012,na,na
0769,Remove Enchantment,Remove Enchantment,Legends,White,Instant,na,None,Common,100000,na,na
0770,Remove Soul,Remove Soul,Legends,Blue,Interrupt,na,None,Common,000011,na,na
0771,Reset,Reset,Legends,Blue,Interrupt,na,None,Uncommon,000020,na,na
0772,Revelation,Revelation,Legends,Green,Enchant,World,None,Rare,010000,na,na
0773,Reverberation,Reverberation,Legends,Blue,Instant,na,Redirect,Rare,000022,na,na
0774,Righteous Avengers,Righteous Avengers,Legends,White,Summon,Avengers,None,Uncommon,100004,3,1
0775,Ring of Immortals,Ring of Immortals,Legends,Brown,Artifact,Mono,None,Rare,000005,na,na
0776,Riven Turnbull,Riven Turnbull,Legends,Gold,Summon,Legend,None,Uncommon,000115,5,7
0777,Rohgahh of Kher Keep,Rohgahh,Legends,Gold,Summon,Legend,None,Rare,002202,5,5
0778,Rust,Rust,Legends,Green,Interrupt,na,None,Common,010000,na,na
0779,Sea Kings' Blessing,Sea Kings' Blessing,Legends,Blue,Instant,na,None,Uncommon,000010,na,na
0780,Seafarer's Quay,Seafarer's Quay,Legends,Grey,Land,na,None,Uncommon,000000,na,na
0781,Seeker,Seeker,Legends,White,Enchant,Creature,None,Uncommon,200002,na,na
0782,Segovian Leviathan,Segovian Leviathan,Legends,Blue,Summon,Leviathan,None,Uncommon,000014,3,3
0783,Sentinel,Sentinel,Legends,Brown,Artifact,Creature,None,Rare,000004,1,0
0784,Serpent Generator,Serpent Generator,Legends,Grey,Artifact,Mono,None,Rare,000006,na,na
0785,Shelkin Brownie,Shelkin Brownie,Legends,Green,Summon,Faerie,None,Common,010001,1,1
0786,Shield Wall,Shield Wall,Legends,White,Instant,na,None,Common,100001,na,na
0787,Shimian Night Stalker,Night Stalker,Legends,Black,Summon,Stalker,None,Uncommon,000203,4,4
0788,Silhouette,Silhouette,Legends,Blue,Instant,na,None,Common,000011,na,na
0789,Sir Shandlar of Eberyn,Sir Shandlar,Legends,Gold,Summon,Legend,None,Uncommon,110004,4,7
0790,Sivitri Scarzam,Sivitri Scarzam,Legends,Gold,Summon,Legend,None,Uncommon,000115,6,4
0791,Sol'kanar the Swamp King,Sol'kanar,Legends,Gold,Summon,Legend,None,Rare,001112,5,5
0792,Spectral Cloak,Spectral Cloak,Legends,Blue,Enchant,Creature,None,Uncommon,000020,na,na
0793,Spinal Villain,Spinal Villain,Legends,Red,Summon,Villain,None,Uncommon,001002,1,2
0794,Spirit Link,Spirit Link,Legends,White,Enchant,Creature,None,Uncommon,100000,na,na
0795,Spirit Shackle,Spirit Shackle,Legends,Black,Enchant,Creature,None,Common,000200,na,na
0796,Spiritual Sanctuary,Spiritual Sanctuary,Legends,White,Enchant,na,None,Rare,200002,na,na
0797,Stangg,Stangg,Legends,Gold,Summon,Legend,None,Rare,011004,3,4
0798,Storm Seeker,Storm Seeker,Legends,Green,Instant,na,None,Uncommon,010003,na,na
0799,Storm World,Strorm World,Legends,Red,Enchant ,World,None,Rare,001000,na,na
0800,Subdue,Subdue,Legends,Green,Instant,na,None,Common,010000,na,na
0801,Sunastian Falconer,Sunastian,Legends,Gold,Summon,Legend,None,Uncommon,011003,4,4
0802,Sword of the Ages,Sword of the Ages ,Legends,Brown,Artifact,Mono,None,Rare,000006,na,na
0803,Sylvan Library,Sylvan Library,Legends,Green,Enchant,na,None,Uncommon,010001,na,na
0804,Sylvan Paradise,Sylvan Paradise,Legends,Green,Instant,na,None,Uncommon,010000,na,na
0805,Syphon Soul,Syphon Soul,Legends,Black,Sorcery,na,None,Common,000102,na,na
0806,Tabernacle at Pendrell Vale,Pendrell Tabernacle,Legends,Grey,Land,na,None,Rare,000000,na,na
0807,Takklemaggot,Takklemaggot,Legends,Black,Enchant,Creature,None,Uncommon,000202,na,na
0808,Telekinesis,Telekinesis,Legends,Blue,Instant,na,None,Rare,000020,na,na
0809,Teleport,Teleport,Legends,Blue,Instant,na,None,Rare,000030,na,na
0810,Tempest Efreet,Tempest Efreet,Legends,Red,Summon,Efreet,None,Rare,003001,3,3
0811,Tetsuo Umezawa,Tetsuo Umezawa,Legends,Gold,Summon,Legend,None,Rare,001110,3,3
0812,The Abyss,The Abyss,Legends,Black,Enchant,World,None,Rare,000103,na,na
0813,The Brute,The Brute,Legends,Red,Enchant,Creature,None,Common,001001,na,na
0814,The Lady of the Mountain,Lady of the Mount,Legends,Gold,Summon,Legend,None,Uncommon,011004,5,5
0815,The Wretched,The Wretched,Legends,Black,Summon,Wretched,None,Rare,000203,2,5
0816,Thunder Spirit,Thunder Spirit,Legends,White,Summon,Spirit,None,Rare,200001,2,2
0817,Time Elemental,Time Elemental,Legends,Blue,Summon,Elemental,None,Rare,000012,0,2
0818,Tobias Andrion,Tobias Andrion,Legends,Gold,Summon,Legend,None,Uncommon,100013,4,4
0819,Tolaria,Tolaria,Legends,Grey,Land,na,None,Rare,000000,na,na
0820,Tor Wauki,Tor Wauki,Legends,Gold,Summon,Legend,None,Uncommon,001202,3,3
0821,Torsten von Ursus,Torsten,Legends,Gold,Summon,Legend,None,Uncommon,120003,5,5
0822,Touch of Darkness,Touch of Darkness,Legends,Black,Instant,na,None,Common,000100,na,na
0823,Transmutation,Transmutation,Legends,Black,Instant,na,None,Common,000101,na,na
0824,Triassic Egg,Triassic Egg,Legends,Brown,Artifact,Mono,None,Rare,000004,na,na
0825,Tuknir Deathlock,Tuknir Deathlock,Legends,Gold,Summon,Legend,None,Rare,022000,2,2
0826,Turndra Wolves,Tundra Wolves,Legends,White,Summon,Wolves,None,Common,100000,1,1
0827,Typhoon,Typhoon,Legends,Green,Sorcery,na,None,Uncommon,010002,na,na
0828,Undertow,Undertow,Legends,Blue,Enchant,na,None,Common,000012,na,na
0829,Underworld Dreams,Underworld Dreams,Legends,Black,Enchant,na,None,Uncommon,000300,na,na
0830,Unholy Citadel,Unholy Citadel,Legends,Grey,Land,na,None,Uncommon,000000,na,na
0831,Untamed Wilds,Untamed Wilds,Legends,Green,Sorcery,na,None,Uncommon,010002,na,na
0832,Ur-Drago,Ur-Drago,Legends,Gold,Summon,Legend,None,Rare,000223,4,4
0833,Urborg,Urborg,Legends,Grey,Land,na,None,Rare,000000,na,na
0834,Vaevictis Asmadi,Vaevictis Asmadi,Legends,Gold,Summon,ElderDragon,None,Rare,022202,7,7
0835,Vampire Bats,Vampire Bats,Legends,Black,Summon,Bats,None,Common,000100,0,1
0836,Venarian Gold,Venarian Gold,Legends,Blue,Enchant,Creature,None,Common,00002x,na,na
0837,Visions,Visions,Legends,White,Sorcery,na,None,Common,100000,na,na 
0838,Voodoo Doll,Voodoo Doll,Legends,Brown,Artifact,Mono,None,Rare,000006,na,na
0839,Walking Dead,Walking Dead,Legends,Black,Summon,Dead,None,Common,000101,1,1
0840,Wall of Caltrops,Wall of Caltrops,Legends,White,Summon,Wall,None,Common,100001,2,1
0841,Wall of Dust,Wall of Dust,Legends,Red,Summon,Wall,None,Uncommon,001002,1,4
0842,Wall of Earth,Wall of Earth,Legends,Red,Summon,Wall,None,Common,001001,0,6
0843,Wall of Heat,Wall of Heat,Legends,Red,Summon,Wall,None,Common,001002,2,6
0844,Wall of Light,Wall of Light,Legends,White,Summon,Wall,None,Uncommon,100002,1,5
0845,Wall of Opposition,Wall of Opposition,Legends,Red,Summon,Wall,None,Rare,002003,0,6
0846,Wall of Putrid Flesh,Wall of Putrid Flesh,Legends,Black,Summon,Wall,None,Uncommon,000102,2,4
0847,Wall of Shadows,Wall of Shadows,Legends,Black,Summon,Wall,None,Common,000201,0,1
0848,Wall of Tombstones,Wall of Tombstones,Legends,Black,Summon,Wall,None,Uncommon,000101,0,1
0849,Wall of Vapor,Wall of Vapor,Legends,Blue,Summon,Wall,None,Common,000013,0,1
0850,Wall of Wonder,Wall of Wonder,Legends,Blue,Summon,Wall,None,Uncommon,000022,1,5
0851,Whirling Dervish,Whirling Dervish,Legends,Green,Summon,Dervish,None,Uncommon,020000,1,1
0852,White Mana Battery,White Mana Battery,Legends,Brown,Artifact,Mono,None,Uncommon,000004,na,na
0853,Willow Satyr,Willow Satyr,Legends,Green,Summon,Satyr,None,Rare,020002,1,1
0854,Winds of Change,Winds of Change,Legends,Red,Sorcery,na,None,Uncommon,001000,na,na
0855,Winter Blast,Winter Blast,Legends,Green,Sorcery,na,None,Rare,01000x,na,na
0856,Wolverine Pack,Wolverine Pack,Legends,Green,Summon,Wolverines,None,Common,020002,2,4
0857,Wood Elemental,Wood Elemental,Legends,Green,Summon,Elemental,None,Rare,010003,x,x
0858,Xira Arien,Xira Arien,Legends,Gold,Summon,Legend,None,Rare,011100,1,2
0859,Zephyr Falcon,Zephyr Falcon,Legends,Blue,Summon,Falcon,None,Common,000011,1,1
0860,Call from the Grave,Call from the Grave,Astral,Black,Sorcery,na,None,Special,000201,na,na
0861,Prismatic Dragon,Prismatic Dragon,Astral,White,Summon,Dragon,None,Special,200002,2,3
0862,Knights of the Rainbow Vale,Rainbow Knights,Astral,White,Summon,Knights,None,Special,200001,2,2
0863,Pandora's Box,Pandora's Box,Astral,Brown,Artifact,na,None,Special,000005,na,na
