ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0517,Power Artifact,Enchant Artifact,Douglas Shuler,"All activation costs of target artifact which require grey mana are reduced by  |2, to a minimum of |1.",
0518,Powerleech,Enchantment,Christopher Rush,"Whenever the activation cost of an artifact controlled by target opponent is paid, or such an artifact otherwise becomes tapped, you gain 1 life.",The Forest of Argoth has developed a resistance to mechanical intrusion.
0519,Primal Clay,Artifact Creature,Kaja Foglio,"When Primal Clay comes into play, choose whether to make it a 1/6 wall, a 2/2 creature with flying, or a 3/3 creature.",
0520,Rakalite,Artifact,Christopher Rush,"Prevents 1 damage to any target per |2 spent, if used Rakalite is returned to controllers hand","Urza was the first to understand that the war would not be lost for lack of power, but for lack of troops."
0521,Reconstruction,Sorcery,Anson Maddocks,Take target artifact from your graveyard and put it into your hand.,Tedious research made the Sages of the College of Lat-Nam adept in repairing broken artifacts.
0522,Reverse Polarity,Instant,Justin Hampton,All damage dealt to you so far this turn by artifacts is retroactively added to your life total instead of subtracted.  Further damage this turn is treated normally.,
0523,Rocket Launcher,Artifact,Pete Venters,Rocket Launcher may not be used until it begins a turn in play under your control.  Destroy Rocket Launcher at end of turn if it was used during the turn.   |2 : Rocket Launcher deals 1 damage to target creature or player.,"What these devices lacked in subtlety, they made up in strength."
0524,Sage of Lat-Nam,Summon Sage,Pete Venters,Sacrifice an artifact |T: draw a card.,
0525,Shapeshifter,Artifact Creature,Dan Frazier,"Shapeshift has power and toughness that add up to seven, but neither may be more than seven.  Set them when Shapeshift comes into play; you may change them during your upkeep.",
0526,Shatterstorm,Sorcery,Mark Poole,Bury all artifacts.,"Chains of leaping fire and sizzling lightining laid waste the artificers' handiwork, sparing not a single device."
0527,Staff of Zegon,Artifact,Mark Poole," |3, |T: Target creature gets -2/-0 until end of turn.","Though Mishra was impressed by the staves Ashnod had created for Zegon's defense, he understood they only hinted at her full potential."
0528,Strip Mine,Land,Daniel Gelon,"|T: Add |1 to your mana pool. ; Sacrifice Strip Mine , |T: destroy target land.","Unlike previous conflicts, the war between Urza and Mishra made Dominia itself a casualty of war. "
0529,Su-Chi,Artifact Creature,Christopher Rush,"If Su-Chi is put into the graveyard from play, add |4 to your mana pool.","Flawed copies of relics from the Thran Empire, the Su-Chi were inherently unstable but provided useful knowledge for Tocasia's students."
0530,Tablets of Epityr,Artifact,Christopher Rush,|1: Gain 1 life when an artifact you control is put into the graveyard from play.  Use this effect only once each time an artifact is put into the graveyard.,"Originally considered the work of Urza, this tablet was created by forgers seeking to imitate Urza's masterpieces."
0531,Tawnos' Coffin,Artifact,Christopher Rush,see Oubliette,
0532,Tawnos' Wand,Artifact,Douglas Shuler,"|2, |T: Target creature with power no greater than 2 becomes unblockable until end of turn.  Other effects may later be used to increase the creature's power beyond 2.",
0533,Tawnos' Weaponry,Artifact,Dan Frazier,"|2, |T: Target creature gets +1/+1 as long as Tawnos's Weaponry remains tapped.  You may choose not to untap Tawnos's Weaponry during your untap phase.","When war machines became too costly, Tawnos's Weaponry replaced them."
0534,Tetravus,Artifact Creature,Mark Tedin,"Flying  When Tetravus comes into play, put three +1/+1 counters on it.  During your upkeep, you may move each of these counters on or off of Tetravus, regardless of who controls them.  Counters that are removed become Tetravite tokens...",
0535,The Rack,Artifact,Richard Thomas,"At the end of target opponent's upkeep, The Rack deals that player 1 damage for each card in his or her hand fewer than three.","Invented in Mishra's earlier days, the Rack was once his most feared creation."
0536,Titania's Song,Enchantment,Kirsten Kaman,"All non-creature artifacts lose all their usual abilities and become artifact creatures with toughness and power each equal to their casting costs.  If Titania's Song leaves play, artifacts return to normal just before the untap phase of the next turn.",
0537,Transmute Artifact,Sorcery,Anson Maddocks,"Sacrifice an artifact : search through your library and put an artifact directly into play.  If that artifact's casting cost is more than the casting cost of the sacrificed artifact, pay the difference or put the artifact in your graveyard instead of...",
0538,Triskelion,Artifact Creature,Douglas Shuler,"When Triskelion comes into play, put three +1/+1 counters on it.   |0 : Remove one of these counters from Triskelion to have Triskelion deal 1 damage to target creature or player.","A brainchild of Tawnos, the Triskelion later proved both versatile and useful."
0539,Urza's Avenger,Artifact Creature,Amy Weber,"|0: Urza's Avenger gets -1/-1 until end of turn and your choice of flying, banding, first strike, or trample until end of turn.","Unable to settle on just one design, Urza decided to create one versatile being."
0540,Urza's Chalice,Artifact,Jeff A. Menges,|1: Gain 1 life for a successfully cast artifact spell.  Use this effect either when the spell is cast or later in the turn but only once for each artifact spell cast.,"When sorely wounded or tired, Urza would often retreat to the workshops of his apprentices. They were greatly amazed at how much better he looked each time he took a sip of wine."
0541,Urza's Mine,Land,Anson Maddocks,"If you have Urza's Mine, Tower and Powerplant in play,|T: add |2 to your mana pool. otherwise, |T add |1 to you mana pool",Mines became common as cities during the days of the artificers.
0542,Urza's Miter,Artifact,Randy Asplund-Faith,"|3: Draw a card when an artifact you control is put into the graveyard from play.  Use this eff
0543,Urza's Powerplant,Land,Mark Tedin,"If you have Urza's Mine, Tower and Powerplant in play,|T: add |2 to your mana pool. otherwise, |T add |1 to you mana pool",Artifact construction required immense resources.
0544,Urza's Tower,Land,Mark Poole,"If you have Urza's Mine, Tower and Powerplant in play,|T: add |3 to your mana pool. otherwise, |T add |1 to you mana pool",Urza always put Tocasia's lessons on resource-gathering to effective use.
0545,Wall of Spears,Artifact Creature,Sandra Everingham,"First strike, counts as a wall","Even the most conservative generals revised their tactics after the Battle of Sarinth, during which a handful of peasant-pikemen held off a trio of rampaging Craw Wurms."
0546,Weakstone,Artifact,Justin Hampton,All attacking creatures get -1/-0.,"During the brothers' childhood, Tocasia took them to explore the sacred cave of Koilos. There, in the Hall of Tagsin, Mishra descovered the mysterious weakstone."
0547,Xenic Poltergeist,Summon Poltergeist,Dan Frazier,|T: Target non-creature artifact becomes an artifact creature with power and toughness each equal to its casting cost.  Target retains all original abilities.  This change lasts until your next upkeep.,
0548,Yawgmoth Demon,Summon Demon,Sandra Everingham,Sacrifice an artifact each turn or demon becomes tapped and does 2 damage to you,
0549,Priest of Yawgmoth,Summon Priest,Mark Tedin,|T: Sacrifice any artifact you own to add an amount of |B to your mana pool equal to the artifact's casting cost.  Play this ability as an interrupt.,
0550,Yotian Soldiers,Artifact Creature,Christopher Rush,Attacking does not cause Yotian Soldier to tap.,"After Kroog was destroyed while most of its defenders were at his side, Urza vowed that none of his allies would ever need to fear for their own defense again, even while laying siege to a city far from their homes."
0551,Abomination,Summon Abomination,Mark Tedin,"At the end of combat, destroy all green and white creatures blocking or blocked by Abomination.",
0552,Acid Rain,Sorcery,Nene Thomas,Destroys all forests.,
0553,Active Volcano,Instant,Brian Snoddy,Destroy target blue permanent or return target island to owner's hand.,
0554,Adun Oakenshield,Summon Legend,Jeff A. Menges,"|G|R|B, |T: Take target creature from your graveyard and put it into your hand.",""" ... And at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle."" --- The Anvilonian Grimoire"
0555,Adventurer's Guild,Land,Tom Wanerstrand,All your green legends gain bands with other legends.,
0556,Aerathi Berserker,Summon Berserker,Melissa Benson,Rampage 3,Aerathi children who show promise are left to survive for a year in the wilderness. Those who return are shown the way of the Berserker
0557,Aisling Leprechaun,Summon Faerie,Quinton Hoover,"Change the color of all creatures blocking or blocked by Leprechaun to green.  This change is permanent.  Costs to cast, tap, maintain, or use a special ability of a permanent remain unchanged.",
0558,Akron Legionnaire,Summon Legionnaire,Mark Poole,None of your other non-artifact creatures may attack except for other legionnaires while card is in play,
0559,Al-abara's Carpet,Artifact,Kaja Foglio," |5, |T: Prevent all damage dealt to you by attacking creatures without flying.","Al-abara simply laughed and lifted one finger, and the carpet carried her high out of our reach."
0560,Alabaster Potion,Instant,Harold McNeil,"Give target player X life, or prevent X damage to any creature or player.","``Healing is a matter of time, but it is sometimes also a matter of opportunity.''  ---D'Avenant proverb"
0561,Alchor's Tomb,Artifact,Jesper Myrfors," |2, |T: Change the color of target permanent you control to the color of your choice.  This change is permanent.  Costs to cast, tap, maintain, or use a special ability of target remain unchanged.",
0562,All Hallows Eve,Enchantment,Christopher Rush,"Put two haunting counters on All Hallow's Eve.  During your upkeep, remove one haunting counter.  When the last haunting counter is removed, take all creatures from all graveyards and put them directly into play.  You choose the order in which they...",
0563,Amrou Kithkin,Summon Kithkin,Quinton Hoover,No creature with power greater than 2 may be assigned to block Kithkin.,"Quick and agile, Amrou Kithkin can usually escape from even the most fearsome opponents."
0564,Angelic Voices,Enchantment,Julie Baroh,"As long as you only have white or artifact creatures in play, all your creatures gain +1/+1 ",
0565,Angus Mackenzie,Summon Legend,Bryon Wackwitz,"|W|U|G, |T: No creatures deal damage in combat this turn.  Use this ability only before attack damage is dealt.","""Battles no longer served a purpose in Karakas."" --- Angus Mackenzie, Diary"
0566,Anti-Magic Aura,Enchant Creature,Douglas Shuler,"Destroy all enchantments on target creature, except Anti-Magic Aura.  Target creature cannot be further targeted by instants, sorceries, or enchantments.",
0567,Arboria,Enchant World,Daniel Gelon,If a player doesn't cast a spell or put a card into play no creature may attack that player till next turn.,
0568,Arcades Sabboth,Summon ElderDragon,Edward Beard Jr.,"|W: +0/+1 ; Your untapped creatures gain +0/+2, but attacking creatures lose this bonus. Pay |W|U|G during upkeep or bury Arcades.",
0569,Ancients' Arena,Artifact,Tom Wanerstrand,All legends in play are tapped and may not be untapped as normal during untap phase,
0570,Avoid Fate,Interrupt,Phil Foglio,"Counter target interrupt or enchantment, which must target a permanent you control.",
0571,Axelrod,Summon Legend,Scott Kirschner,Each time a creature dies during a turn in which Axelrod damaged it you gain 1 life and your opponent loses 1 life unless it is regenerated,
0572,Ayesha Tanaka,Summon Legend,Bryon Wackwitz,|T:  add |W to the activation cost of target artifact. Interrupt which only affects artifacts that have an activation cost,
0573,Azure Drake,Summon Drake,Dan Frazier,,The Azure Drake would be more powerful were it not so easily distracted.
0574,Backdraft,Instant,Brian Snoddy,"Choose a sorcery cast during the turn.  Backdraft deals half the damage dealt by this sorcery, rounded down, to the caster of the sorcery.",
0575,Backfire,Enchant Creature,Brian Snoddy,Backfire deals 1 damage to target creature's controller for each 1 damage dealt to you by that creature.,
0576,Barbary Apes,Summon Apes,Bryon Wackwitz,,"Unpredictable in the extreme, these carniverous apes will prey even upon their own kind."
0577,Barktooth Warbeard,Summon Legend,Andi Rusu,,"He is devious and cunning, in both appearance and deed. Beware the Warbeard, for this brute bites as well as he barks!"
0578,Bartel Runeaxe,Summon Legend,Andi Rusu,Bartel Runeaxe cannot be the target of enchant creature spells.  Attacking does not cause Bartel Runeaxe to tap.,"Thundering down from Hammerheim, no foe could slow Barte's charge."
0579,Beasts of Bogardan,Summon Beasts,Daniel Gelon,Gains +1/+1 if opponent controls any white cards,Bogardan is a land as volatile as the creatures who live there.
0580,Black Mana Battery,Artifact,Anson Maddocks,"|2, |T: Put one charge counter on Black Mana Battery.  |T: Add |B to your mana pool and rmove as many charge counters as you wish.  For each charge counter remove from Black Mana Battery, add |B...",
0581,Blazing Effigy,Summon Effigy,Susan Van Camp,"If Blazing Effigy is put into the graveyard from play, Effigy deals 3 damage to target creature.  If Effigy had been damaged in this way during the turn, all of the damage dealt to it in this way is added to the normal 3 damage.",
0582,Blight,Enchant Land,Pete Venters,"If target land is tapped, destroy it at end of turn.",
0583,Blood Lust,Instant,Anson Maddocks,"Target creature gets +4/-4 until end of turn.  If this reduces creature's toughness to less than 1, creature's toughness becomes 1.",
0584,Blue Mana Battery,Artifact,Amy Weber,"|2, |T: Put one charge counter on Blue Mana Battery.  |T: Add |U to your mana pool and rmove as many charge counters as you wish.  For each charge counter remove from Blue Mana Battery, add |U...",
0585,Boomerang,Instant,Brian Snoddy,Return any card in play to owners hand discarding enchants on it,"``O! call back yesterday, bid time return.'' ---William Shakespeare, King Richard the Second"
0586,Boris Devilboon,Summon Legend,Jesper Myrfors,"|2 |B|R, |T: Put a Minor Demon token into play.  Treat this token as a 1/1 red and black creature.",
0587,Brine Hag,Summon Hag,Quinton Hoover,"If Brine Hag is put into the graveyard, all creatures which damaged Hag this turn become 0/2.  This change is permanent.",
0588,Bronze Horse,Artifact Creature,Mark Poole,Damage done to Bronze horse by spells targeting it is reduced to 0 if you have another creature.,
0589,Carrion Ants,Summon Ants,Richard Thomas,|1: +1/+1 until end of turn,"``War is no picnic,'' my father liked to say. But the Ants seemed to disagree."
0590,Cat Warriors,Summon Cat Warriors,Melissa Benson,,These stealthy felines have survived so many battles that some believe they must possess many lives.
0591,Cathedral of Serra,Land,Mark Poole,All your white legends gain bands with other legends.,
0592,Caverns of Despair,Enchant World,Harold McNeil,No player may attack or block with more than two creatures during combat.,
0593,Chain Lightning,Sorcery,Sandra Everingham,"Chain Lightning deals 3 damage to target creature or player.    Each time Chain Lightning deals damage, the target or the target's controller may pay |R|R for Chain Lightning to deal 3 damage to target creature or player of that player's...",
0594,Chains of Mephisto,Enchantment,Heather Hudson,All players must first discard a card for each card they draw per turn beyond the first,
0595,Chromium,Summon ElderDragon,Edward Beard Jr.,Pay |B|U|W during your upkeep or Chromium is buried.,
0596,Cleanse,Sorcery,Phil Foglio,Destroy all black creatures.,"The clouds broke and the sun's rays burst forth; each foul beast in its turn faltered, and was gone."
0597,Holy Nimbus Clerics,Summon Priest,Daniel Gelon,"When clergy are destroyed, opponent must pay |1 or clergy are regenerated",
0598,Cocoon,Enchant Creature,Mark Tedin,Target creature is tapped and cannot attack block or untap for 3 turns after the 3rd upkeep it gains +1/+1 and flying,
0599,Concordant Roads,Enchant World,Amy Weber,Creatures may attack or use tap abilities the turn they are brought into play.,
0600,Cosmic Horror,Summon Horror,Jesper Myrfors,"First strike  During your upkeep, pay  |3|B|B|B or destroy Cosmic Horror. If you destroy Cosmic Horror in this way, it deals 7 damage to you.","``Screams of horror rend th' affrighted skies.'' ---Alexander Pope, The Rape of the Lock"
0601,Craw Giant,Summon Giant,Christopher Rush,,Harthag gave a jolly laugh as he surveyed the army before him. ``Ho ho ho! Midgets! You think you can stand in my way?''
0602,Crevasse,Enchantment,Rob Alexander,Creatures with mountainwalk may be blocked as if they did not have this ability.,
0603,Crimson Kobolds,Summon Kobolds,Anson Maddocks,,"""Kobolds are harmless."" --- Bearand the Bold, epitaph"
0604,Crimson Manticore,Summon Manticore,Daniel Gelon,"Flying , |R, |T: Manticore deals 1 damage to target attacking or blocking creature.","Noted neither for their good looks nor their charm,  Manticores can be fearsome allies. As dinner companions, however, they are best left alone."
0605,Crookshank Kobolds,Summon Kobolds,Christopher Rush,,"The Crookshank military boasts a standing army of nearly twenty-four million, give or take twenty-two million."
0606,Cyclopian Mummy,Summon Mummy,Edward Beard Jr.,"If Mummy is put into the graveyard from play, remove it from the game.",The ritual of plucking out an eye to gain future sight is but a curse that enables the living to see their own deaths.
0607,D'Avenant Archer,Summon Archer,Douglas Shuler,|T:  do 1 damage to target attacking or blocking creature,
0608,Dakkon Blackblade,Summon Legend,Richard Kane-Ferguson,Pow/tuff are = to the number of lands his controller has in play.,"``My power is as vast as the plains; my strength is that of mountains. Each wave that crashes upon the shore thunders like blood in my veins.'' ---Dakkon Blackblade, Memoirs"
0609,Darkness,Instant,Harold McNeil,No creatures deal damage in combat this turn.,"""If I must die, I will encounter darkness as a bride, / And hug it in my arms."" --- William Shakespeare, Measure for Measure"
0610,Deadfall,Enchantment,Nene Thomas,Creatures with forestwalk may be blocked as if they did not have this ability.,
0611,Demonic Torment,Enchant Creature,Anson Maddocks,Target creature deals no damage in combat.  This creature cannot attack.,
0612,Devouring Deep,Summon Devourer,Liz Danforth,Islandwalk,"""Full fathom five the father lies; / Of his bones are coral made; / Nothing of him that doth fade, / But doth suffer a sea-change . Into something rich and strange."" --- William Shakespeare, The Tempest"
0613,Disharmony,Instant,Phil Foglio,"Gain control of target attacking creature until end of turn.  If this creature is tapped, untap it.  This creature is not considered to have attacked.  Play before defense is chosen.",
0614,Divine Intervention,Enchantment,Amy Weber,"Put two internvention counters on Divine Intervention.  During your upkeep, remove one intervention counter.  When the last intervention counter is removed, the game ends in a draw.",
0615,Divine Offering,Instant,Jeff A. Menges,"Destroy target artifact, you gain life equal to casting cost of artifact",D'Haren stared at the twisted lump of metal that had been a prized artifact. The fight was getting ugly.
0616,Transformation,Enchant Creature,Nene Thomas,Target creature gets +3/+3.,Glory surged through her and radiance surrounded her. All things were possible with the blessing of the Divine.
0617,Dream Coat,Enchant Creature,Anthony Waters,"Change the color of target creature Dream Coat enchants to the color of your choice.  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of this creature remain unchanged.  Use this ability only once per turn.","""Adopt the character of the twisting octopus, which takes on the appearance of the nearby rock. Now follow in this direction, now turn a different hue."" --- Theognis, Elegies 1, 215"
0618,Durkwood Boars,Summon Boars,Mike Kimble,,"""And the unclean spirits went out, and entered the swine: and the herd ran violently ... "" --- Mark 5:13"
0619,Dwarven Song,Instant,Dan Frazier,"Change the color of one or more target creatures to red.  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of targets remain unchanged.",
0620,Elder Land Wurm,Summon Wurm,Quinton Hoover,Trample  Cannot attack until assigned as a blocker.,Sometimes it's best to let sleeping dragons lie.
0621,Elder Spawn,Summon Spawn,Jesper Myrfors,"Cannot be blocked by red creatures.  During your upkeep, sacrifice an island or bury Elder Spawn.  If you bury Elder Spawn in this way, it deals 6 damage to you.",
0622,Elven Riders,Summon Elves,Melissa Benson,Cannot be blocked except by walls and by creatures with flying.,``Sometimes it is better to be swift of foot than strong of swordarm.'' ---Elven proverb
0623,Emerald Dragonfly,Summon Dragonfly,Quinton Hoover,|G|G : gain First Strike until EOT,"``Flittering, wheeling,/ darting in to strike, and then/ gone just as you blink.'' ---``Dragonfly Haiku,'' poet unknown"
0624,Enchanted Being,Summon Being,Douglas Shuler,Any damage done to Enchanted Being during combat by creatures with one or more enchantments played on them is reduced to 0.,
0625,Enchant Alteration,Instant,Brian Snoddy,Switch enchant from one target creature or land to another of the same type. New target must be valid as if the spell were just being cast,
0626,Energy Tap,Sorcery,Daniel Gelon,|T: target creature you control.  Add |X  to your mana pool. where X is equal to that creature's casting cost ,
0627,Equinox,Enchant Land,Susan Van Camp,|T: land to counter a spell that destroys one or more of your lands. Interrupt,
0628,Eternal Warrior,Enchant Creature,Anson Maddocks,Attacking does not cause target creature to tap.,Warriors of the Tsunami-nito School spend years in training to master the way of effortless effort.
0629,Eureka,Sorcery,Kaja Foglio,All valid permanets may be played with no cost. Each player places one card at a time alternating with caster going first. None of these placements may be countered and any x casting cost is 0,
0630,Evil Eye,Summon Evil Eye,Jesper Myrfors,"Cannot be blocked except by walls.  Except for Evil Eyes, creatures you control cannot attack.","""The highway of fear is the shortest route to defeat."""
0631,Fallen Angel,Summon Angel,Anson Maddocks,Sacrifice a creatures: Fallen Angel gains +2/+1 until end of turn,
0632,Falling Star,Sorcery,Douglas Shuler,Flip onto play surface from at least 1' above table if star lands on any creatures they take 3 damage and become tapped if still alive,
0633,Feint,Instant,Brian Snoddy,|T: all creatures blocking target attacking creature.  This creature and all creatures blocking it do not deal damage in combat this turn.,
0634,Field of Dreams,Enchant World,Kaja Foglio,All players play with the top card of their library face up.,"Some people say that the world is round, and if you travel far enough you'll come to the other side where everything is upside down."
0635,Fire Sprites,Summon Faeries,Julie Baroh,"Flying; |G, |T: Add |R to your mana pool.  Play this ability as an interrupt.",
0636,Firestorm Phoenix,Summon Phoenix,Jeff A. Menges,"Flying ; If Phoenix is put into the graveyard from play, return it to its owner's hand.  If Phoenix returns to its owner's hand in this way, it may not be cast until its owner's next turn.","""The bird of wonder dies, the maiden phoenix, / Her ashed new-create another heir / As great in admiration as herself. "" --- William Shakespeare, King Henry the Eigth"
0637,Flash Counter,Interrupt,Harold McNeil,Counter target instant or interrupt spell.,"""She grinned at me --- a wicked grin. 'I hope you weren't relying too heavily on that, my dear.;"" --- Medryn Silverwand, Diary"
0638,Flash Flood,Instant,Tom Wanerstrand,Destroy target red permanent or return target mountain to controller's hand.,Many people say that no power can bring the mountains low. Many people are fools.
0639,Floral Spuzzem,Summon Spuzzem,Rob Alexander,"If Floral Spuzzem attacks and is not blocked, you may choose to have it destroy target artifact defending player controls.  If you do so, it deals no damage to opponent this turn.",
0640,Force Spike,Interrupt,Bryon Wackwitz,Counter target spell.  The spell's controller may pay |1 to prevent this effect.,
0641,Forethought Amulet,Artifact,Melissa Benson,"Whenever an instant or sorcery deals more than 2 damage to you, the damage is reduced to 2.  During your upkeep, pay  |3 or destroy Forethought Amulet.",
0642,Fortified Area,Enchantment,Randy Asplund-Faith,All walls you control gain banding and get +1/+0.,
0643,Frost Giant,Summon Giant,Daniel Gelon,Rampage 2,"The Frost Giants have been out in the cold a long, long time, bute they have their rage to keep them warm."
0644,Gabriel Angelfire,Summon Legend,Daniel Gelon,Each turn Gabriel gains one of the following abilities which lasts until the end of the turn. Flying-first strike-trample or rampage 3. Declare which during your upkeep,
0645,Gaseous Form,Enchant Creature,Phil Foglio,Target creature neither deals nor receives damage during combat.,"``... And gives to airy nothing / A local habitation and a name.'' ---William Shakespeare, A Midsummer-Night's Dream"
0646,Gauntlets of Chaos,Artifact,Dan Frazier,"|5 |T: trade a land, artifact or creature in play with a like card in play on opponents side. Enchants on traded cards are discarded and cards are returned after duel",
0647,Damned Spirits,Summon Ghosts,Edward Beard Jr.,|T: Target creature gets -1/-0 until end of turn.,The voices of the dead ring in the heart long after they have faded from the ears.
0648,Giant Slug,Summon Slug,Anson Maddocks,|5: gain any walk during upkeep for the slug which lasts until end of turn,
0649,Giant Strength,Enchant Creature,Justin Hampton,Target creatures gets +2/+2.,"{``O! it is excellent / To have a giant's strength, but it is tyrannous / To use it like a giant.'' ---William Shakespeare, Measure for Measure"
0650,Giant Turtle,Summon Turtle,Jeff A. Menges,Giant Turtle cannot attack if it attacked during your last turn.,"""The turtle lives 'twixt plated decks / Which practically conceal its sex. / I think it clever of the turtle / In such a fix to be fertile."" --- Ogden Nash, ""The Turtle"""
0651,Glyph of Delusion,Instant,Susan Van Camp,"Put X delusion counters on target creature blocked by target wall this turn.  As long as this creature has any delusion counters on it, it does not untap as normal during the untap phase.  During its controller's upkeep, remove one delusion counter.",
0652,Glyph of Destruction,Instant,Susan Van Camp,"Target blocking wall you control gets +10/+0 until end of turn.  Until end of turn, all damage dealt to the wall is reduced to 0.  At the end of the turn, destroy the wall.",
0653,Glyph of Doom,Instant,Susan Van Camp,"At the end of combat, destroy all creatures blocked by target wall.",
0654,Glyph of Life,Instant,Susan Van Camp,All damage dealt to target wall by attacking creatures is added to your life total.,
0655,Reincarnation Glyph,Instant,Susan Van Camp,All surviving creatures blocked by wall this turn are buried and remove an equal number of creatures from attackers graveyard and put them in play.,
0656,Gosta Dirk,Summon Legend,Richard Thomas,First strike  Creatures with islandwalk may be blocked as if they did not have this ability.,
0657,Gravity Sphere,Enchant World,Brian Snoddy,All creatures lose flying.,"Gal-Shan, the Sorcerer's cry rang out: ""Let no bird fly, let no creature take wing, let all the battle join as one."""
0658,Great Defender,Instant,Mark Poole,"Target creature gets +0/+X until end of turn, where X is the creature's casting cost.",
0659,Great Wall,Enchantment,Sandra Everingham,Creatures with plainswalk may be blocked as if they did not have this ability.,
0660,Greater Realm,Enchantment,Nene Thomas,"|1|W: Prevent all damage against you from one black or red source.  If a source deals damage to you more than once in a turn, you may pay  |1|W each time to prevent the damage.",
0661,Greed,Enchantment,Phil Foglio,"|B, 2 life : draw a card.  Effects that prevent or redirect damage cannot be used to counter this loss of life.",``There is no calamity greater than lavish desires. And there is no greater disaster than greed.'' ---Tao Te Ching 46
0662,Green Mana Battery,Artifact,Christopher Rush,"|2 |T: Put one charge counter on Green Mana Battery. ; |T: Add |G to your mana pool and rmove as many charge counters as you wish.  For each charge counter remove from Green Mana Battery, add |G...",
0663,Gwendlyn Di Corsi,Summon Legend,Julie Baroh,|T: Target player discards one card from his or her hand at random.  Use this ability only during your turn.,"Urbord became the final resting place of many swordsmen reknown, their steel outmatched by the wiles of Gwendlyn"
0664,Halfdane,Summon Legend,Melissa Benson,Halfdane is able to change into any creature in play acquiring their power and toughness only. He may only change creatures during your upkeep,Hail from Tolaria the ever changing 'Dane.
0665,Hammerheim,Land,Bryon Wackwitz,|T: Add |R to your mana pool. ; |T: Target creature loses all landwalk abilities until end of turn.,""" 'Tis Distance lends enchantment to the view, / And robes the mountain in its azure hue."" --- Thomas Campbell, ""Pleasures of Hope"""
0666,Hazezon Tamar,Summon Legend,Richard Kane-Ferguson,"On your next upkeep after Hazezon comes into play, put a Sand Warrior token into play for each land you control.  Treat these tokens as 1/1 white, green, and red creatures.  If Hazezon Tamar leaves play, remove all Sand Warriors from the game.",
0667,Headless Horseman,Summon Horseman,Quinton Hoover,,""" ... [T]he ghost rides forth to the scene of battle in nightly quest of his head ... he sometimes passes along the Hollow, like a midnight blast ... "" --- Washington Irving, The Legend of Sleepy Hollow"
0668,Heavens Gate,Instant,Douglas Shuler,"Change the color of one or more target creatures to white  This change lasts until end of turn.  Costs to cast, tap, maintain, or use a special ability of targets remain unchanged.",
0669,Hell Swarm,Instant,Christopher Rush,All creatures get -1/-0 until end of turn.,The brightness of day turned in an instant to dusk as the swarm descended upon the battlefield.
0670,Hell's Caretaker,Summon Caretaker,Sandra Everingham,|T: during upkeep to trade one of your creatures in play with a creature from your graveyard,"You might leave here, Chenndra, should another take your place ..."
0671,Hellfire,Sorcery,Pete Venters,"Destroy all non-black creatures.  Hellfire then deals X+3 damage to you, where X is the number of creatures put into the graveyard in this way.","""High on a throne of royal state ... insatiate to pursue vain war with heav'n."" --- John Milton, Paradise Lost"
0672,Holy Day,Instant,Justin Hampton,No creatures deal damage in combat this turn.,"""The day of spirits; my soul's calm retreat / Which none disturb!"" --- Henry Vaughan, ""Silex Scintillans"""
0673,Horn of Deafening,Artifact,Dan Frazier,|2 |T: make target creature deal no damage this turn,"``A blast, an echo ... then silence.''"
0674,Hornet Cobra,Summon Cobra,Sandra Everingham,First strike,"""Then inch by inch out of the grass rose up the head and spread hood of Nag, the big black cobra, and he was five feet long from tongue to tail."" --- Rudyard Kipling, The Jungle Books"
0675,Horror of Horrors,Enchantment,Mark Tedin, |0: Sacrifice a swamp to regenerate target black creature.,"""And a horror of outer darkness after, / And dust returneth to dust again."" --- Adam Lindsay Gordon, The Swimmer"
0676,Hunding Gjornersen,Summon Legend,Richard Thomas,Rampage 1,"""You would never guess, at the terrifying sight of the man, that Hunding was as charming a companion as one could wish for."""
0677,Hyperion Blacksmith,Summon Smith,Dan Frazier,|T: tap or untap target artifact an opponent controls.,"""The smith a mighty man is he / With large and sinewy hands. / And the muscles of his brawny arms  / Are strong as iron bands."" --- Henry Wadsworth Longfellow, The Village Blacksmith"
0678,Ichnemon Druid,Summon Druid,Melissa Benson,"Whenever an opponent successfully casts an instant, Ichneumon Druid deals 4 damage to that opponent.  This does not apply to the first instant a player casts during a turn.",
0679,Immolation,Enchant Creature,Scott Kirschner,Target creature gets +2/-2.,
0680,Imprison,Enchant Creature,Christopher Rush,"Whenever target creature attempts to attack, block, or use an ability with |T in the cost, pay |1 to prevent this action, or destroy Imprison.",
0681,The Eye of Chaos,Enchant World,Brian Snoddy,"All instants and interrupts are countered.  The caster of a spell may spend  |X to prevent this effect, where X is the spell's casting cost.",
0682,Indestructable Aura,Instant,Mark Poole,Any damage done by target source is reduced to 0 for remainder of turn,"Theodar strode the battle lines, snatching swords with his bare hands and casting them aside until all cowered before him."
0683,Infernal Medusa,Summon Medusa,Anson Maddocks,"At the end of combat, destroy all non-wall creatures blocking or blocked by Basilisk.",
0684,Infinite Authority,Enchant Creature,Douglas Shuler,Creatures of 3 or less tough blocked or blocked by target are destroyed and give target +1/+1,
