Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
200,Red Elemental Blast,0199,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
201,Red Ward,0200,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
202,Regeneration,0201,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
203,Regrowth,0202,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
204,Resurrection,0203,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
205,Reverse Damage,0204,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
206,Righteousness,0205,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,-50,-,-,7,7,-,-,-,-,-,-,-
207,Roc of Kher Ridges,0206,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
208,Rock Hydra,0207,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,50,4,4,1,1,1,-,-,-,-,-,-
209,Rod of Ruin,0208,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
210,Royal Assassin,0209,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
211,Sacrifice,0210,No,,,,Unlimited,U,U,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
212,Samite Healer,0211,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,20,1,1,-,-,-,-,-,-,-,-,-
213,Savannah,0212,No,,,,Unlimited,R,R,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,10001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
214,Savannah Lions,0213,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,-,-,-
215,Scathe Zombies,0214,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
216,Scavenging Ghoul,0215,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,25,2,2,-,-,-,-,-,-,-,-,-
217,Scrubland,0216,No,,,,Unlimited,R,R,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,10100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
218,Scryb Sprites,0217,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,1,-,-,-,-,-
219,Sea Serpent,0218,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-,-,-,1
220,Sedge Troll,0219,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,1,1,-,-,-,-,-,-,-
221,Sengir Vampire,0220,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,0,4,4,1,1,1,1,-,-,-,-,-
222,Serra Angel,0221,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,50,4,4,-,-,-,1,-,-,-,-,-
223,Shanodin Dryads,0222,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
224,Shatter,0223,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
225,Shivan Dragon,0224,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,5,1,-,1,1,-,-,-,-,-
226,Simulacrum,0225,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
227,Sinkhole,0226,No,,,,Unlimited,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
228,Siren's Call,0227,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
229,Sleight of Mind,0228,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,11111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
230,Smoke,0229,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
231,Sol Ring,0230,No,,,,Unlimited,U,U,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
232,Soul Net,0231,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
233,Spell Blast,0232,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
234,Stasis,0233,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
235,Steal Artifact,0234,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
236,Stone Giant,0235,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,0,3,4,-,-,-,2,-,-,-,-,-
237,Stone Rain,0236,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
238,Stream of Life,0237,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
239,Sunglasses of Urza,0238,No,,,,Unlimited,R,R,R,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
240,Swamp,0239,Yes,,,,Unlimited,L8,L8,L8,L,-,-,-,1,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-65,-,-,-,-,-,-,-,-,-,-,-
241,Swords to Plowshares,0240,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
242,Taiga,0241,No,,,,Unlimited,R,R,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,00011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
243,Terror,0242,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
244,The Hive,0243,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,100,3,3,-,-,-,1,-,-,-,-,-
245,Thicket Basilisk,0244,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,-,-,-
246,Thoughtlace,0245,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
247,Throne of Bone,0246,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00100,00100,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-20,-,-,-,-,-,-,-,-,-,-,-
248,Timber Wolves,0247,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,1,-,-,-,-
249,Time Vault,0248,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
250,Time Walk,0249,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
251,Timetwister,0250,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
252,Tranquility,0251,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
253,Tropical Island,0252,No,,,,Unlimited,R,R,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,01001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
254,Tsunami,0253,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,1,-,-,-,01000,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
255,Tundra,0254,No,,,,Unlimited,R,R,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,11000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
256,Tunnel,0255,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
257,Twiddle,0256,Yes,,,,Unlimited,C ,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
258,Two Headed Giant of Foriys,0257,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,4,4,-,-,-,-,-,1,-,-,-
259,Underground Sea,0258,No,,,,Unlimited,R,R,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,01100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
260,Unholy Strength,0259,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,-,-,-
261,Unsummon,0260,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,6,-,-,-,-,-,-,-,-100,-,-,-,-,-,-,-,-,-,-,-
262,Uthden Troll,0261,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
263,Verduran Enchantress,0262,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,50,-,2,-,-,-,-,-,-,-,-,-
264,Vesuvan Doppleganger,0263,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
265,Veteran Bodyguard,0264,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,2,5,-,-,-,-,-,-,-,-,-
266,Volcanic Eruption,0265,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,1,1,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
267,Volcanic Island,0266,No,,,,Unlimited,R,R,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,01010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-50,-,-,-,-,-,-,-,-,-,-,-
268,Wall of Air,0267,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,5,-,-,-,1,-,-,-,1,-
269,Wall of Bone,0268,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,4,-,-,-,-,-,-,-,1,-
270,Wall of Brambles,0269,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,1,-
271,Wall of Fire,0270,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,5,1,-,1,-,-,-,-,1,-
272,Wall of Ice,0271,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,7,-,-,-,-,-,-,-,1,-
273,Wall of Stone,0272,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,8,-,-,-,-,-,-,-,1,-
274,Wall of Swords,0273,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,5,-,-,-,1,-,-,-,1,-
275,Wall of Water,0274,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,5,1,-,1,-,-,-,-,1,-
276,Wall of Wood,0275,No,,,,Unlimited,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,3,-,-,-,-,-,-,-,1,-
277,Wanderlust,0276,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,1,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
278,War Mammoth,0277,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,1,-,-,-
279,Warp Artifact,0278,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,1,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
280,Water Elemental,0279,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,4,-,-,-,-,-,-,-,-,-
281,Weakness,0280,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
282,Web,0281,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,2,-,-,-,4,-,-,-,-,-
283,Wheel of Fortune,0282,No,,,,Unlimited,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
284,White Knight,0283,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,1,-,-
285,White Ward,0284,No,,,,Unlimited,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
286,Wild Growth,0285,Yes,,,,Unlimited,C,C,C,C,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
287,Will-O'-The-Wisp,0286,No,,,,Unlimited,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,50,-,1,-,-,-,1,-,-,-,-,-
288,Winter Orb,0287,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
289,Wooden Sphere,0288,Yes,,,,Unlimited,U,U,U,U,-,-,-,-,-,-,-,-,-,00001,00001,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-20,-,-,-,-,-,-,-,-,-,-,-
290,Word of Command,0289,No,,,,Unlimited,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
291,Wrath of God,0290,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
292,Zombie Master,0291,Yes,,,,Unlimited,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
765,Amnesia,0292,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
766,Angry Mob,0293,Yes,,,,Dark,U2,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,00100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,1,-,-,-
768,Ashes to Ashes,0294,Yes,,,,Dark,C3,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-, ,-,-,-
769,Ball Lightning,0295,Yes,,,,Dark,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,0,6,1,-,-,-,-,-,1,-,-,-
770,Banshee,0296,No,,,,Dark,U2,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-
771,Barl's Cage,0297,No,Easy,Goblin Polka Band,,Dark,U1,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
787,Dark Heart of the Wood,0298,No,,,,Dark,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
772,Blood Moon,0299,No,,,,Dark,U1,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
767,Apprentice Wizard,0300,No,,,,Dark,U1,-,C,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-
773,Blood of the Martyr,0301,No,,,,Dark,U2,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
776,Bone Flute,0302,No,,,,Dark,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
