ID;Full Name;CODED CARD;Name;Expansion;Color;Card Type;DB Card Type 2;Rarity;Req Colorless;Req Black;Req Blue;Req Green;Req Red;Req White;Num Pics;Mod Direct Fire;Mod Land Destructor;Mod Draw Cards;Mod Discard;Mod Gain Life;Mod Damage Prevention;Mod Recycler;Mod Counter Spell;Mod Control;Mod Combat Manipulator;Mod Enchantments;Mod Artifacts;Mod Creature;Mod Creature Generator;Mod Damage Opponent;Mod Library Manipulation;Mod Dummy 1;Mod Dummy 2;Mod Dummy 3;Mod Dummy 4;AI Inc Power;AI Inc Toughness;AI Power;AI Toughness;AI Base Value;Dependent Arifact;Dependent Creature;Dependent Wall;Sleighted Color;VS Black;VS Blue;VS Green;VS Red;VS White;For Black;For Blue;For Green;For Red;For White;Count as Black;Count as Blue;Count as Green;Count as Red;Count as White;VS Black Land;VS Blue Land;VS Green Land;VS Red Land;VS White Land;For Black Land;For Blue Land;For Green Land;For Red Land;For White Land;Count as Black Land;Count as Blue Land;Count as Green Land;Count as Red Land;Count as White Land;AI Flying;AI Banding;AI Trample;AI First Strike;AI Wall;AI Landhome;Exp Rarity;Power;Toughness;Num of DB Abilities;DBA1;DBA2;DBA3;DBA4;DBA5;DBA6;DBA7;DBA8;Mana Source Colors;Inflatable;Hack Color;Hack Mode;Enchant Type OWN;Enchant Type OPP;Subtype;Subtype 2;Type Text;Rules Text;Flavor Text;Damage Text;Effect Title Text;Effect Text;Legacy Title Text;Legacy Text
524;Sage of Lat-Nam;1;Sage of Lat-Nam;02h;2;7;6;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90000h;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;159;211;Creature — Sage;|T, Sacrifice an artifact: Draw a card.;;;;;;
525;Shapeshifter;1;Shapeshifter;02h;3;1;0;4;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0110h;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;As Shapeshifter comes into play, choose a number between 0 and 7.\nAt the beginning of your upkeep, you may choose a number between 0 and 7.\nShapeshifter's power is equal to the last chosen number and its toughness is equal to 7 minus that number.;;;;;;
526;Shatterstorm;1;Shatterstorm;02h;7;6;0;4;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0101h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;Destroy all artifacts. They can't be regenerated.;Chains of leaping fire and sizzling lightining laid waste the artificers' handiwork, sparing not a single device.;;;;;
527;Staff of Zegon;1;Staff of Zegon;02h;3;1;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|3, |T: Target creature gets -2/-0 until end of turn.;Though Mishra was impressed by the staves Ashnod had created for Zegon's defense, he understood they only hinted at her full potential.;;Weakness Effect;Affected creature gets -2/-0 until end of turn.;;
528;Strip Mine;1;Strip Mine;02h;6;5;10;4;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;010h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Land;|T: Add |1 to your mana pool.\n|T, Sacrifice Strip Mine: Destroy target land.;Unlike previous conflicts, the war between Urza and Mishra made Dominia itself a casualty of war.;;;;;
529;Su-Chi;1;Su-Chi;02h;3;1;10;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;4;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;44;211;Artifact Creature;When Su-Chi is put into a graveyard from play, add |4 to your mana pool.;Flawed copies of relics from the Thran Empire, the Su-Chi were inherently unstable but provided useful knowledge for Tocasia's students.;;;;;
530;Tablet of Epityr;1;Tablet of Epityr;02h;3;1;7;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever an artifact you control is put into a graveyard from play, you may pay |1. If you do, you gain 1 life.;Originally considered the work of Urza, this tablet was created by forgers seeking to imitate Urza's masterpieces.;;;;;
531;Tawnos's Coffin;1;Tawnos's Coffin;02h;3;1;0;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;You may choose not to untap Tawnos's Coffin during your untap step.\n|3, |T: Target creature phases out. It can't phase in as long as Tawnos's Coffin remains tapped. When Tawnos's Coffin leaves play or becomes untapped, the creature phases in tapped.;;;Coffin Effect;Affected creature is set aside from play. If Tawnos's Coffin leaves play or becomes untapped, put affected creature into play tapped.;;
532;Tawnos's Wand;1;Tawnos's Wand;02h;3;1;0;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;010h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|2, |T: Target creature with power 2 or less is unblockable this turn.;;;Combat Effect;Target creature is unblockable this turn.;;
533;Tawnos's Weaponry;1;Tawnos's Weaponry;02h;3;1;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0110h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;You may choose not to untap Tawnos's Weaponry during your untap step.\n|2, |T: Target creature gets +1/+1 as long as Tawnos's Weaponry remains tapped.;When war machines became too costly, Tawnos's Weaponry replaced them.;;PowerUp Effect;Target creature gains +1/+1 while Tawnos' Weaponry remains tapped.;;
534;Tetravus;1;Tetravus;02h;3;1;0;4;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;4;4;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;090h;1;1;2;4;24;0;0;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;"Flying\nTetravus comes into play with three +1/+1 counters on it.\nAt the beginning of your upkeep, you may remove any number of Tetravites created with Tetravus from the game. For each Tetravite removed this way, put a +1/+1 counter on Tetravus. Then you may remove any number of +1/+1 counters from Tetravus. For each +1/+1 counter removed this way, put into play a 1/1 Tetravite artifact creature token with flying and with ""Tetravite can't be enchanted.""";;;;;;
535;The Rack;1;The Rack;02h;3;1;0;4;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;011h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;As The Rack comes into play, choose an opponent.\nAt the beginning of the chosen player's upkeep, The Rack deals X damage to that player, where X is three minus the number of cards in his or her hand.;Invented in Mishra's earlier days, the Rack was once his most feared creation.;;;;;
536;Titania's Song;1;Titania's Song;02h;5;2;0;4;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0999h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;Each noncreature artifact loses its abilities and becomes an artifact creature with power and toughness each equal to its converted mana cost. If Titania's Song leaves play, this effect continues until end of turn.;;;;;Invisible Effect;Each non-creature artifact loses all its abilities and becomes an artifact creature with power and toughness equal to it's casting cost. If Titania's Song leaves play, this effect continues until end of turn.
537;Transmute Artifact;1;Transmute Artifact;02h;2;6;6;4;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Sorcery;As an additional cost to play Transmute Artifact, sacrifice an artifact.\nSearch your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it into play. If it's greater, you may pay the cost difference. If you do, put it into play. If you don't, put it into its owner's graveyard. Then shuffle your library.;;;;;;
538;Triskelion;1;Triskelion;02h;3;1;4;4;6;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;4;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;090h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;Triskelion comes into play with three +1/+1 counters on it.\nRemove a +1/+1 counter from Triskelion: Triskelion deals 1 damage to target creature or player.;A brainchild of Tawnos, the Triskelion later proved both versatile and useful.;;;;;
539;Urza's Avenger;1;Urza's Avenger;02h;3;1;0;4;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0990h;4;4;4;24;41;22;23;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;|0: Urza's Avenger gets -1/-1 and your choice of banding, flying, first strike, or trample until end of turn.;Unable to settle on just one design, Urza decided to create one versatile being.;;Ability Effect;Urza's Avenger gets -|n/-|n and gains |a until end of turn.;;
540;Urza's Chalice;1;Urza's Chalice;02h;3;1;7;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever a player plays an artifact spell, you may pay |1. If you do, you gain 1 life.;When sorely wounded or tired, Urza would often retreat to the workshops of his apprentices. They were greatly amazed at how much better he looked each time he took a sip of wine.;;;;;
541;Urza's Mine;1;Urza's Mine;02h;6;5;10;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15500h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Land — Urza's Mine;|T: Add |1 to your mana pool. If you control an Urza's Power-Plant and an Urza's Tower, add |2 to your mana pool instead.;Mines became common as cities during the days of the artificers.;;;;;
542;Urza's Miter;1;Urza's Miter;02h;3;1;6;4;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever an artifact you control is put into a graveyard from play, if it wasn't sacrificed, you may pay |3. If you do, draw a card.;;;;;;
543;Urza's Power Plant;1;Urza's Power Plant;02h;6;5;10;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15500h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Land — Urza's Power-Plant;|T: Add |1 to your mana pool. If you control an Urza's Mine and an Urza's Tower, add |2 to your mana pool instead.;Artifact construction required immense resources.;;;;;
544;Urza's Tower;1;Urza's Tower;02h;6;5;10;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15500h;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;211;211;Land — Urza's Tower;|T: Add |1 to your mana pool. If you control an Urza's Mine and an Urza's Power-Plant, add |3 to your mana pool instead.;Urza always put Tocasia's lessons on resource-gathering to effective use.;;;;;
545;Wall of Spears;1;Wall of Spears;02h;3;1;0;4;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;10550h;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;197;211;Artifact Creature — Wall;First strike;“A stick is your friend. A pointed stick is your good friend. An army of pointed sticks is your best friend.”\n—Onean sergeant;;;;;
546;Weakstone;1;Weakstone;02h;3;1;0;4;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;Whenever a creature attacks, it gets -1/-0 until end of combat.;During the brothers' childhood, Tocasia took them to explore the sacred cave of Koilos. There, in the Hall of Tagsin, Mishra descovered the mysterious weakstone.;;;;;
547;Xenic Poltergeist;1;Xenic Poltergeist;02h;1;7;0;4;1;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0990h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;211;Creature — Poltergeist;|T: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost.;;;Animate Effect;Target becomes an artifact creature with power and toughness equal to its converted mana cost until Poltergeist controller's next upkeep. (Artifact retains all of its original abilities.);;
548;Yawgmoth Demon;1;Yawgmoth Demon;02h;1;7;0;4;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;6;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;05000h;6;6;2;4;3;0;0;0;0;0;0;0;0;0;0;0;0;46;211;Creature — Demon;Flying, first strike\nAt the beginning of your upkeep, unless you sacrifice an artifact, tap Yawgmoth Demon and it deals 2 damage to you.;;;;;;
549;Priest of Yawgmoth;1;Priest of Yawgmoth;02h;1;7;10;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;1;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;40;211;Creature — Cleric;|T, Sacrifice an artifact: Add to your mana pool an amount of |Sblack mana equal to the sacrificed artifact's converted mana cost.;;;;;;
550;Yotian Soldier;1;Yotian Soldier;02h;3;1;0;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;050h;1;4;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;44;211;Artifact Creature;Attacking doesn't cause Yotian Soldier to tap.;After Kroog was destroyed while most of its defenders were at his side, Urza vowed that none of his allies would ever need to fear for their own defense again, even while laying siege to a city far from their homes.;;;;;
551;Abomination;1;Abomination;0100h;1;7;0;4;3;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;40;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;010h;2;6;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;1;211;Creature — Abomination;Whenever Abomination blocks or becomes blocked by a |Sgreen or |Swhite creature, destroy that creature at end of combat.;;;Stoning Effect;Creatures blocked by or blocking Abomination are destroyed at end of combat.;;
552;Acid Rain;1;Acid Rain;0100h;2;6;9;2;3;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;211;211;Sorcery;Destroy all |H1Forests.;;;;;;
553;Active Volcano;1;Active Volcano;0100h;7;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;07000h;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;211;211;Instant;"Choose one — Destroy target |Sblue permanent; or return target |H1Island to its owner's hand.";;;;;;
554;Adun Oakenshield;1;Adun Oakenshield;0100h;4;7;6;2;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;211;Creature — Legend;|B|R|G, |T: Return target creature card from your graveyard to your hand.;“...And at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle.”\n—The Anvilonian Grimoire;;;;;
555;Adventurers' Guildhouse;0;Adventurers' Guild;0100h;6;5;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Land;"|SGreen Legends you control have ""bands with other Legends.""";;;;;;
556;Aerathi Berserker;0;Aerathi Berserker;0100h;7;7;0;4;2;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;2;4;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;28;211;Creature — Berserker;Rampage 3 (Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.);Aerathi children who show promise are left to survive for a year in the wilderness. Those who return are shown the way of the Berserker;;;;;
557;Aisling Leprechaun;1;Aisling Leprechaun;0100h;5;7;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;211;Creature — Faerie;Whenever Aisling Leprechaun blocks or becomes blocked by a creature, that creature becomes |Sgreen. (This effect doesn't end at end of turn.);;;;;;
558;Akron Legionnaire;1;Akron Legionnaire;0100h;8;7;0;2;6;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01900h;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;211;Creature — Legionnaire;Except for creatures named Akron Legionnaire and artifact creatures, creatures you control can't attack.;;;;;;
559;Al-abara's Carpet;0;Al-abara's Carpet;0100h;3;1;8;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|5, |T: Prevent all damage that would be dealt to you this turn by attacking creatures without flying.;Al-abara simply laughed and lifted one finger, and the carpet carried her high out of our reach.;;;;;
560;Alabaster Potion;1;Alabaster Potion;0100h;8;3;7;1;40;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0550h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Instant;"Choose one — Target player gains X life; or prevent the next X damage that would be dealt to target creature or player this turn.";“Healing is a matter of time, but it is sometimes also a matter of opportunity.”\n—D'Avenant proverb;;;;;
561;Alchor's Tomb;1;Alchor's Tomb;0100h;3;1;0;2;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Artifact;|2, |T: Target permanent you control becomes the color of your choice. (This effect doesn't end at end of turn.);;;;;;
562;All Hallows Eve;0;All Hallows Eve;0100h;1;2;6;2;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;All Hallow's Eve comes into play with two time counters on it.\nAt the beginning of your upkeep, if there is a time counter on All Hallow's Eve, remove a time counter from it. If there are no more time counters on it, each player returns all creature cards from his or her graveyard to play.;;;;;;
563;Amrou Kithkin;1;Amrou Kithkin;0100h;8;7;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;050h;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;211;Creature — Kithkin;Amrou Kithkin can't be blocked by creatures with power 3 or greater.;Quick and agile, Amrou Kithkin can usually escape from even the most fearsome opponents.;;;;;
564;Angelic Voices;1;Angelic Voices;0100h;8;2;0;2;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;32;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;01000h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;211;Enchantment;Creatures you control get +1/+1 as long as you control no nonartifact, |Snon-white creatures.;;;;;;
565;Angus Mackenzie;1;Angus Mackenzie;0100h;4;7;0;2;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0h;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;211;Creature — Legend;|G|W|U, |T: Prevent all combat damage that would be dealt this turn.;“Battles no longer served a purpose in Karakas.”\n—Angus Mackenzie, Diary;;Combat Effect;Creatures deal no combat damage this turn.;;
